;C_p_expect (J/mol/K);N_eff;Vol_expect (mL/mol);dC_p_expect (J/mol/K);dVol_expect (mL/mol);epsilon values;rmin_half values
107;85.0695268671;517.316539216;108.702861013;4.51380222755;18.4631817067;0.113633333333;1.894
108;86.6987635531;632.710304691;108.567547599;4.59527058377;18.3770148303;0.113633333333;1.89633333333
109;88.2718741363;673.228354489;108.435013147;5.02740345436;20.306772468;0.113633333333;1.89866666667
110;89.6855335134;613.277535853;108.307184542;5.73885397329;23.8510108238;0.113633333333;1.901
111;85.6260524386;400.647061218;108.384106723;5.76835218589;23.99987689;0.114666666667;1.894
112;87.8674970878;407.45455288;108.243045741;6.61471720084;27.765447689;0.114666666667;1.89633333333
113;89.9051191984;349.973037408;108.106184283;7.7940413509;33.8548627374;0.114666666667;1.89866666667
114;91.3704571036;269.179013281;107.97733961;8.98735021331;40.6257314169;0.114666666667;1.901
115;87.530949695;238.474198654;108.060059857;8.6824122719;37.2645839279;0.1157;1.894
116;90.2193963959;191.754870714;107.911291066;10.358074577;46.5740356726;0.1157;1.89633333333
117;92.0863818552;139.063097785;107.77055026;11.9156974305;56.492671777;0.1157;1.89866666667
118;92.7537451752;101.128350228;107.644183188;12.9851366186;64.8662564592;0.1157;1.901
119;90.9705893287;1996.0;109.326523237;2.88730150306;9.52239854677;0.1094;1.908
120;90.5390960754;1151.19489914;109.028270338;3.48874212913;12.1973079752;0.1094;1.914
121;90.0029276796;758.673445712;108.936131789;4.05402371586;14.4326648951;0.1094;1.916
122;88.9662572359;460.677667553;108.852399224;4.83348132105;17.4619112765;0.1094;1.918
123;87.2171563501;268.035514717;108.780888443;5.85202891001;21.5045895186;0.1094;1.92
124;89.3864398629;740.771363403;108.688449119;4.13567448101;15.2901732582;0.110466666667;1.914
125;88.331456057;478.249863478;108.609610929;4.7791989912;18.0677396895;0.110466666667;1.916
126;86.6360349456;299.330086454;108.543520147;5.56969867607;21.5868935553;0.110466666667;1.918
127;84.2437097694;186.359088527;108.493204756;6.52654619982;26.1130409551;0.110466666667;1.92
128;88.4482893923;430.368290984;108.3740975;5.15343354023;20.8149978243;0.111533333333;1.914
129;86.8601733612;289.349717964;108.312974031;5.76906846955;23.8059886591;0.111533333333;1.916
130;84.7103961419;194.343941509;108.267149891;6.50244240379;27.3923020085;0.111533333333;1.918
131;82.08122045;132.006215657;108.238155424;7.38723051992;31.8001711287;0.111533333333;1.92
132;87.2260474018;240.016240872;108.08394024;6.46281275565;28.4324431833;0.1126;1.914
133;85.1720816575;173.466478736;108.042187914;6.93918890408;30.8528659731;0.1126;1.916
134;82.7990533187;126.603062073;108.016218091;7.57986990147;33.8161941623;0.1126;1.918
135;80.2527587086;93.788245;108.006150699;8.43467133532;37.5215416878;0.1126;1.92
