;C_p_expect (J/mol/K);N_eff;Vol_expect (mL/mol);dC_p_expect (J/mol/K);dVol_expect (mL/mol);epsilon values;rmin_half values
285;56.1269728623;20.9567672313;110.947243318;8.63318527483;59.7791814849;0.1058;1.894
286;62.5794728884;33.578129394;110.888278307;8.18599677356;51.5142900659;0.1058;1.89633333333
287;69.3337916313;57.5602029922;110.825375816;7.52464995024;43.0050955949;0.1058;1.89866666667
288;76.0084157991;103.539787753;110.75826255;6.75125248485;35.2800870452;0.1058;1.901
289;90.9705893302;1996.0;109.326523237;2.88730150306;9.52239854677;0.1094;1.908
290;77.5361394522;207.354295489;110.015238804;5.22510001833;27.7921802535;0.1094;1.894
291;82.6014267484;358.422614771;109.907484825;4.62968573988;21.6848945674;0.1094;1.89633333333
292;86.4434621949;613.414050128;109.795420421;4.10132540972;16.9330145858;0.1094;1.89866666667
293;88.9637678246;993.200331242;109.680238046;3.65350505287;13.5130005372;0.1094;1.901
294;82.0061440364;335.170124901;109.689505101;4.60635810245;20.9183021806;0.110466666667;1.894
295;85.535551713;559.095636813;109.571019494;4.10054406082;16.6863417749;0.110466666667;1.89633333333
296;87.8580890434;893.646803658;109.450326317;3.65156897551;13.5235811059;0.110466666667;1.89866666667
